Area Type,Area Name,Period,SOC Level,Standard Occupational Classification (SOC),Occupational Title,Base Quarter Employment Estimate,Projected Quarter Employment Estimate,Numeric Change,Percentage Change,Exits,Transfers,Total Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training
State,California,2020-2022,4,33-3041,Parking Enforcement Workers,1300,1200,-100,-7.7,60,120,80,28.48,59249.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,33-3051,Police and Sheriff's Patrol Officers,70300,71400,1100,1.6,3410,6540,11050,53.90,112112.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2020-2022,3,33-9000,Other Protective Service Workers,196200,208400,12200,6.2,26590,32640,71430,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,33-9011,Animal Control Workers,1200,1200,0,0.0,100,130,230,26.00,54089.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2020-2022,4,33-9021,Private Detectives and Investigators,3900,4200,300,7.7,280,440,1020,31.75,66037.00,High school diploma or equivalent,<5 years,Moderate-term on-the-job training
State,California,2020-2022,4,33-9032,Security Guards,145200,154400,9200,6.3,15290,23280,47770,15.16,31541.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,33-9091,Crossing Guards,5900,6300,400,6.8,1440,560,2400,19.79,41161.00,No formal educational credential,None,Short-term on-the-job training
State,California,2020-2022,4,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",12700,13900,1200,9.4,3500,2920,7620,15.76,32787.00,No formal educational credential,None,Short-term on-the-job training
State,California,2020-2022,4,33-9093,Transportation Security Screeners,6500,6600,100,1.5,550,690,1340,0.00,0.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,33-9099,"Protective Service Workers, All Other",19900,20900,1000,5.0,5370,4480,10850,0.00,0.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,2,35-0000,Food Preparation and Serving Related Occupations,1080600,1401500,320900,29.7,172960,252010,745870,13.47,28018.00,N/A,N/A,N/A
State,California,2020-2022,3,35-1000,Supervisors of Food Preparation and Serving Workers,78300,101500,23200,29.6,7410,19350,49960,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,35-1011,Chefs and Head Cooks,13500,17800,4300,31.9,940,3140,8380,25.05,52111.00,High school diploma or equivalent,≥5 years,None
State,California,2020-2022,4,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,64900,83700,18800,29.0,6470,16210,41480,17.63,36681.00,High school diploma or equivalent,<5 years,None
State,California,2020-2022,3,35-2000,Cooks and Food Preparation Workers,300800,385600,84800,28.2,39860,62580,187240,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,35-2011,"Cooks, Fast Food",72700,93800,21100,29.0,8840,14720,44660,12.82,26668.00,No formal educational credential,None,Short-term on-the-job training
State,California,2020-2022,4,35-2012,"Cooks, Institution and Cafeteria",26600,28700,2100,7.9,2940,4890,9930,17.28,35960.00,No formal educational credential,None,Short-term on-the-job training
State,California,2020-2022,4,35-2013,"Cooks, Private Household",2500,2600,100,4.0,270,450,820,20.97,43634.00,Postsecondary non-degree award,<5 years,None
State,California,2020-2022,4,35-2014,"Cooks, Restaurant",107600,148700,41100,38.2,13610,22650,77360,15.07,31335.00,No formal educational credential,<5 years,Moderate-term on-the-job training
State,California,2020-2022,4,35-2015,"Cooks, Short Order",11500,14300,2800,24.3,1370,2280,6450,14.27,29686.00,No formal educational credential,None,Short-term on-the-job training
State,California,2020-2022,4,35-2019,"Cooks, All Other",3500,4200,700,20.0,410,690,1800,16.79,34919.00,No formal educational credential,None,Moderate-term on-the-job training
State,California,2020-2022,4,35-2021,Food Preparation Workers,76400,93200,16800,22.0,12430,16900,46130,13.65,28378.00,No formal educational credential,None,Short-term on-the-job training
State,California,2020-2022,3,35-3000,Food and Beverage Serving Workers,553800,719400,165600,29.9,96210,138090,399900,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,35-3011,Bartenders,36600,50700,14100,38.5,4080,11270,29450,13.29,27647.00,No formal educational credential,None,Short-term on-the-job training
State,California,2020-2022,4,35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",279500,361400,81900,29.3,51100,63030,196030,0.00,0.00,No formal educational credential,None,Short-term on-the-job training
State,California,2020-2022,4,35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",31900,38200,6300,19.7,7890,7320,21510,0.00,0.00,No formal educational credential,None,Short-term on-the-job training
State,California,2020-2022,4,35-3031,Waiters and Waitresses,185200,246600,61400,33.2,29960,52900,144260,13.16,27379.00,No formal educational credential,None,Short-term on-the-job training
State,California,2020-2022,4,35-3041,"Food Servers, Nonrestaurant",20600,22600,2000,9.7,3180,3570,8750,14.39,29934.00,No formal educational credential,None,Short-term on-the-job training
State,California,2020-2022,3,35-9000,Other Food Preparation and Serving Related Workers,147700,195100,47400,32.1,29480,32000,108880,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,51800,69100,17300,33.4,9960,10690,37950,12.72,26462.00,No formal educational credential,None,Short-term on-the-job training
State,California,2020-2022,4,35-9021,Dishwashers,54200,70600,16400,30.3,9290,10530,36220,12.78,26586.00,No formal educational credential,None,Short-term on-the-job training
State,California,2020-2022,4,35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",32500,43700,11200,34.5,8510,8940,28650,12.91,26843.00,No formal educational credential,None,Short-term on-the-job training
State,California,2020-2022,4,35-9099,"Food Preparation and Serving Related Workers, All Other",9200,11600,2400,26.1,1720,1840,5960,13.07,27183.00,No formal educational credential,None,Short-term on-the-job training
State,California,2020-2022,2,37-0000,Building and Grounds Cleaning and Maintenance Occupations,518700,569700,51000,9.8,60220,81650,192870,16.15,33590.00,N/A,N/A,N/A
State,California,2020-2022,3,37-1000,Supervisors of Building and Grounds Cleaning and Maintenance Workers,36800,40700,3900,10.6,2980,5640,12520,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,19000,21300,2300,12.1,1700,2880,6880,22.94,47713.00,High school diploma or equivalent,<5 years,None
State,California,2020-2022,4,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",17800,19300,1500,8.4,1280,2760,5540,27.54,57292.00,High school diploma or equivalent,<5 years,None
State,California,2020-2022,3,37-2000,Building Cleaning and Pest Control Workers,339300,374200,34900,10.3,45060,49680,129640,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",227200,245800,18600,8.2,28920,33360,80880,15.70,32653.00,No formal educational credential,None,Short-term on-the-job training
State,California,2020-2022,4,37-2012,Maids and Housekeeping Cleaners,101600,117200,15600,15.4,15480,13980,45060,14.94,31077.00,No formal educational credential,None,Short-term on-the-job training
State,California,2020-2022,4,37-2021,Pest Control Workers,10000,10700,700,7.0,590,2250,3540,20.25,42119.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2020-2022,3,37-3000,Grounds Maintenance Workers,142500,154800,12300,8.6,12180,26330,50810,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,37-3011,Landscaping and Groundskeeping Workers,128500,139700,11200,8.7,10980,23740,45920,16.49,34301.00,No formal educational credential,None,Short-term on-the-job training
State,California,2020-2022,4,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",3600,4000,400,11.1,310,680,1390,22.59,46981.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2020-2022,4,37-3013,Tree Trimmers and Pruners,8800,9400,600,6.8,750,1620,2970,23.08,48022.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,37-3019,"Grounds Maintenance Workers, All Other",1600,1700,100,6.3,130,290,520,20.33,42294.00,No formal educational credential,None,Short-term on-the-job training
State,California,2020-2022,2,39-0000,Personal Care and Service Occupations,938700,1087900,149200,15.9,145220,149450,443870,14.62,30408.00,N/A,N/A,N/A
State,California,2020-2022,3,39-1000,Supervisors of Personal Care and Service Workers,39100,45700,6600,16.9,3460,5390,15450,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,39-1010,First-Line Supervisors of Gaming Workers,4400,5600,1200,27.3,450,1140,2790,0.00,0.00,High school diploma or equivalent,<5 years,None
State,California,2020-2022,4,39-1021,First-Line Supervisors of Personal Service Workers,34800,40100,5300,15.2,3010,4250,12560,0.00,0.00,High school diploma or equivalent,<5 years,None
State,California,2020-2022,3,39-2000,Animal Care and Service Workers,23500,31300,7800,33.2,3720,5050,16570,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,39-2011,Animal Trainers,3000,3800,800,26.7,380,610,1790,18.36,38174.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2020-2022,4,39-2021,Nonfarm Animal Caretakers,20600,27500,6900,33.5,3340,4440,14680,14.21,29573.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,3,39-3000,Entertainment Attendants and Related Workers,57300,72700,15400,26.9,12940,14900,43240,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,39-3011,Gaming Dealers,11600,14300,2700,23.3,1580,2440,6720,12.26,25494.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,39-3012,Gaming and Sports Book Writers and Runners,1400,1600,200,14.3,180,280,660,14.29,29728.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,39-3019,"Gaming Service Workers, All Other",1300,1500,200,15.4,170,270,640,15.62,32488.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,39-3031,"Ushers, Lobby Attendants, and Ticket Takers",10500,12300,1800,17.1,2980,2560,7340,13.26,27565.00,No formal educational credential,None,Short-term on-the-job training
State,California,2020-2022,4,39-3091,Amusement and Recreation Attendants,29200,39000,9800,33.6,7250,8450,25500,13.03,27111.00,No formal educational credential,None,Short-term on-the-job training
State,California,2020-2022,4,39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",1700,2000,300,17.6,390,450,1140,17.63,36681.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,3,39-4000,Funeral Service Workers,4000,4400,400,10.0,650,560,1610,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,39-4021,Funeral Attendants,2100,2300,200,9.5,410,290,900,17.27,35929.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,39-4031,"Morticians, Undertakers, and Funeral Directors",1400,1600,200,14.3,150,210,560,24.70,51380.00,Associate's degree,None,Long-term on-the-job training
State,California,2020-2022,3,39-5000,Personal Appearance Workers,37900,79300,41400,109.2,6810,7210,55420,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,39-5011,Barbers,1500,4200,2700,180.0,290,340,3330,12.98,27008.00,Postsecondary non-degree award,None,None
State,California,2020-2022,4,39-5012,"Hairdressers, Hairstylists, and Cosmetologists",21500,42100,20600,95.8,3860,4060,28520,13.75,28605.00,Postsecondary non-degree award,None,None
State,California,2020-2022,4,39-5091,"Makeup Artists, Theatrical and Performance",1400,1800,400,28.6,180,190,770,47.02,97805.00,Postsecondary non-degree award,None,None
State,California,2020-2022,4,39-5092,Manicurists and Pedicurists,8300,22700,14400,173.5,1720,1820,17940,13.34,27750.00,Postsecondary non-degree award,None,None
State,California,2020-2022,4,39-5094,Skincare Specialists,4900,7700,2800,57.1,690,730,4220,15.87,33014.00,Postsecondary non-degree award,None,None
State,California,2020-2022,3,39-6000,"Baggage Porters, Bellhops, and Concierges",6800,8600,1800,26.5,800,1400,4000,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,39-6011,Baggage Porters and Bellhops,4100,5200,1100,26.8,490,850,2440,14.74,30665.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,39-6012,Concierges,2700,3400,700,25.9,320,550,1570,18.16,37762.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2020-2022,3,39-7000,Tour and Travel Guides,6200,6900,700,11.3,1010,1280,2990,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,39-7010,Tour and Travel Guides,6200,6900,700,11.3,1010,1280,2990,16.98,35300.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2020-2022,3,39-9000,Other Personal Care and Service Workers,763800,838900,75100,9.8,115830,113650,304580,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,39-9011,Childcare Workers,85900,90900,5000,5.8,13070,13300,31370,13.83,28780.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,39-9021,Personal Care Aides,593800,650900,57100,9.6,91970,81520,230590,0.00,0.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,39-9031,Fitness Trainers and Aerobics Instructors,24700,33500,8800,35.6,3470,6200,18470,23.76,49433.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,39-9032,Recreation Workers,45600,48500,2900,6.4,5610,10010,18520,14.67,30511.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,39-9041,Residential Advisors,7100,7300,200,2.8,790,1400,2390,16.63,34579.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,39-9099,"Personal Care and Service Workers, All Other",6800,7900,1100,16.2,910,1220,3230,0.00,0.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,2,41-0000,Sales and Related Occupations,1480900,1700900,220000,14.9,172040,270770,662810,16.53,34374.00,N/A,N/A,N/A
State,California,2020-2022,3,41-1000,Supervisors of Sales Workers,159200,185700,26500,16.6,11750,25060,63310,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,41-1011,First-Line Supervisors of Retail Sales Workers,122300,145500,23200,19.0,9260,20190,52650,20.77,43215.00,High school diploma or equivalent,<5 years,None
State,California,2020-2022,4,41-1012,First-Line Supervisors of Non-Retail Sales Workers,36900,40200,3300,8.9,2490,4870,10660,33.30,69269.00,High school diploma or equivalent,<5 years,None
State,California,2020-2022,3,41-2000,Retail Sales Workers,776800,922100,145300,18.7,119810,156470,421580,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,41-2011,Cashiers,353400,398600,45200,12.8,67120,74740,187060,13.33,27710.00,No formal educational credential,None,Short-term on-the-job training
State,California,2020-2022,4,41-2012,Gaming Change Persons and Booth Cashiers,2100,2600,500,23.8,420,470,1390,13.41,27897.00,No formal educational credential,None,Short-term on-the-job training
State,California,2020-2022,4,41-2021,Counter and Rental Clerks,77600,87100,9500,12.2,8340,12790,30630,15.33,31896.00,No formal educational credential,None,Short-term on-the-job training
State,California,2020-2022,4,41-2022,Parts Salespersons,21100,24100,3000,14.2,1850,3590,8440,16.64,34603.00,No formal educational credential,None,Moderate-term on-the-job training
State,California,2020-2022,4,41-2031,Retail Salespersons,322600,409700,87100,27.0,42080,64880,194060,14.43,30011.00,No formal educational credential,None,Short-term on-the-job training
State,California,2020-2022,3,41-3000,"Sales Representatives, Services",256300,278000,21700,8.5,16650,45120,83470,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,41-3011,Advertising Sales Agents,17400,19100,1700,9.8,1150,3800,6650,30.64,63719.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2020-2022,4,41-3021,Insurance Sales Agents,46100,47400,1300,2.8,3440,5640,10380,26.51,55138.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2020-2022,4,41-3031,"Securities, Commodities, and Financial Services Sales Agents",54700,57100,2400,4.4,2890,7710,13000,28.11,58460.00,Bachelor's degree,None,Moderate-term on-the-job training
State,California,2020-2022,4,41-3041,Travel Agents,9200,9600,400,4.3,1090,1400,2890,23.28,48432.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2020-2022,4,41-3099,"Sales Representatives, Services, All Other",128800,144800,16000,12.4,8080,26560,50640,0.00,0.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2020-2022,3,41-4000,"Sales Representatives, Wholesale and Manufacturing",179200,194600,15400,8.6,11370,27840,54610,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",41100,44300,3200,7.8,2600,6360,12160,42.98,89387.00,Bachelor's degree,None,Moderate-term on-the-job training
State,California,2020-2022,4,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",138100,150300,12200,8.8,8770,21470,42440,31.09,64677.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2020-2022,3,41-9000,Other Sales and Related Workers,109400,120600,11200,10.2,12460,16290,39950,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,41-9011,Demonstrators and Product Promoters,16700,19300,2600,15.6,3640,2520,8760,17.97,37383.00,No formal educational credential,None,Short-term on-the-job training
State,California,2020-2022,4,41-9021,Real Estate Brokers,13500,14700,1200,8.9,1280,1410,3890,34.24,71216.00,High school diploma or equivalent,<5 years,None
State,California,2020-2022,4,41-9022,Real Estate Sales Agents,22300,24200,1900,8.5,2100,2320,6320,29.96,62302.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2020-2022,4,41-9031,Sales Engineers,11000,11900,900,8.2,540,1990,3430,54.72,113817.00,Bachelor's degree,None,Moderate-term on-the-job training
State,California,2020-2022,4,41-9041,Telemarketers,10500,11400,900,8.6,1060,2390,4350,14.37,29896.00,No formal educational credential,None,Short-term on-the-job training
State,California,2020-2022,4,41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",13000,13600,600,4.6,1770,1500,3870,14.11,29344.00,No formal educational credential,None,Short-term on-the-job training
State,California,2020-2022,4,41-9099,"Sales and Related Workers, All Other",22000,25200,3200,14.5,2020,4130,9350,21.35,44412.00,High school diploma or equivalent,None,None
State,California,2020-2022,2,43-0000,Office and Administrative Support Occupations,2336800,2519600,182800,7.8,236340,329400,748540,20.78,43234.00,N/A,N/A,N/A
State,California,2020-2022,3,43-1000,Supervisors of Office and Administrative Support Workers,159000,173300,14300,9.0,12460,22350,49110,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,43-1011,First-Line Supervisors of Office and Administrative Support Workers,159000,173300,14300,9.0,12460,22350,49110,29.75,61895.00,High school diploma or equivalent,<5 years,None
State,California,2020-2022,3,43-2000,Communications Equipment Operators,10100,10600,500,5.0,1160,1400,3060,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,43-2011,"Switchboard Operators, Including Answering Service",9400,9900,500,5.3,1110,1280,2890,18.03,37488.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,3,43-3000,Financial Clerks,338800,363700,24900,7.3,37200,43830,105930,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,43-3011,Bill and Account Collectors,21700,23200,1500,6.9,1740,3620,6860,21.15,44002.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2020-2022,4,43-3021,Billing and Posting Clerks,49800,54900,5100,10.2,4310,7060,16470,21.56,44842.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2020-2022,4,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",185800,201300,15500,8.3,23550,21550,60600,23.24,48334.00,"Some college, no degree",None,Moderate-term on-the-job training
State,California,2020-2022,4,43-3041,Gaming Cage Workers,2700,3400,700,25.9,290,540,1530,14.61,30369.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,43-3051,Payroll and Timekeeping Clerks,21800,23300,1500,6.9,2120,2830,6450,26.28,54654.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2020-2022,4,43-3061,Procurement Clerks,6700,7000,300,4.5,470,950,1720,22.18,46132.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2020-2022,4,43-3071,Tellers,43100,43000,-100,-0.2,4220,6160,10280,16.67,34681.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,43-3099,"Financial Clerks, All Other",7200,7600,400,5.6,490,1110,2000,22.92,47679.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,3,43-4000,Information and Record Clerks,492300,539400,47100,9.6,50710,80010,177820,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,43-4011,Brokerage Clerks,6200,6500,300,4.8,610,720,1630,28.15,58536.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2020-2022,4,43-4031,"Court, Municipal, and License Clerks",11700,11900,200,1.7,1070,1120,2390,24.20,50332.00,High school diploma or equivalent,None,Long-term on-the-job training
State,California,2020-2022,4,43-4041,"Credit Authorizers, Checkers, and Clerks",2300,2500,200,8.7,150,320,670,19.52,40601.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2020-2022,4,43-4051,Customer Service Representatives,194800,210800,16000,8.2,19480,34580,70060,19.17,39874.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,43-4061,"Eligibility Interviewers, Government Programs",21800,22100,300,1.4,1690,2480,4470,26.91,55965.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2020-2022,4,43-4071,File Clerks,13100,13700,600,4.6,1550,1760,3910,16.69,34702.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,43-4081,"Hotel, Motel, and Resort Desk Clerks",15600,21000,5400,34.6,2010,4190,11600,14.45,30052.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,43-4111,"Interviewers, Except Eligibility and Loan",19900,21400,1500,7.5,2100,2990,6590,20.65,42947.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,43-4121,"Library Assistants, Clerical",8700,8800,100,1.1,1390,1240,2730,17.78,36996.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,43-4131,Loan Interviewers and Clerks,22200,23300,1100,5.0,1700,2910,5710,22.35,46491.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,43-4141,New Accounts Clerks,2900,2900,0,0.0,240,420,660,0.00,0.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2020-2022,4,43-4151,Order Clerks,31400,34100,2700,8.6,2740,4800,10240,18.43,38317.00,"Some college, no degree",None,Short-term on-the-job training
State,California,2020-2022,4,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",13100,14200,1100,8.4,1000,2100,4200,21.35,44401.00,Associate's degree,None,None
State,California,2020-2022,4,43-4171,Receptionists and Information Clerks,90700,105400,14700,16.2,11420,14930,41050,16.28,33862.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,16200,17900,1700,10.5,1420,2450,5570,18.44,38338.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,43-4199,"Information and Record Clerks, All Other",21400,22500,1100,5.1,2130,2940,6170,23.03,47884.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,3,43-5000,"Material Recording, Scheduling, Dispatching, and Distributing Workers",462500,504800,42300,9.1,41460,68140,151900,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,43-5011,Cargo and Freight Agents,12300,14000,1700,13.8,940,1560,4200,22.01,45784.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,43-5021,Couriers and Messengers,14500,17500,3000,20.7,1260,1790,6050,16.21,33739.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,43-5031,"Police, Fire, and Ambulance Dispatchers",6600,6800,200,3.0,470,800,1470,32.50,67601.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2020-2022,4,43-5032,"Dispatchers, Except Police, Fire, and Ambulance",20500,22400,1900,9.3,1510,2550,5960,20.19,42005.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2020-2022,4,43-5041,"Meter Readers, Utilities",2000,2000,0,0.0,170,230,400,29.52,61404.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,43-5051,Postal Service Clerks,6900,6600,-300,-4.3,560,470,730,29.91,62213.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,43-5052,Postal Service Mail Carriers,32400,30800,-1600,-4.9,2310,2390,3100,31.71,65962.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",11800,11100,-700,-5.9,1050,850,1200,29.61,61598.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,43-5061,"Production, Planning, and Expediting Clerks",47700,52200,4500,9.4,3310,7100,14910,25.33,52698.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2020-2022,4,43-5071,"Shipping, Receiving, and Traffic Clerks",78900,86300,7400,9.4,5520,10880,23800,17.21,35787.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,43-5081,Stock Clerks and Order Fillers,216700,241900,25200,11.6,23210,37830,86240,0.00,0.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",12100,13100,1000,8.3,1150,1710,3860,15.94,33145.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,3,43-6000,Secretaries and Administrative Assistants,409700,436700,27000,6.6,43380,51360,121740,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,43-6011,Executive Secretaries and Executive Administrative Assistants,71900,73700,1800,2.5,7460,8840,18100,34.65,72077.00,High school diploma or equivalent,<5 years,None
State,California,2020-2022,4,43-6012,Legal Secretaries,25300,25200,-100,-0.4,2590,3060,5550,27.16,56508.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2020-2022,4,43-6013,Medical Secretaries,77900,89800,11900,15.3,8590,10170,30660,20.93,43531.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2020-2022,4,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",234700,248000,13300,5.7,24740,29290,67330,21.48,44668.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,3,43-9000,Other Office and Administrative Support Workers,464400,491200,26800,5.8,49960,62310,139070,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,43-9011,Computer Operators,3100,3400,300,9.7,310,470,1080,0.00,0.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2020-2022,4,43-9021,Data Entry Keyers,20700,21600,900,4.3,1910,2980,5790,17.40,36187.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,43-9022,Word Processors and Typists,8400,8100,-300,-3.6,990,1010,1700,22.02,45815.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,43-9031,Desktop Publishers,1100,1100,0,0.0,90,160,250,28.12,58474.00,Associate's degree,None,Short-term on-the-job training
State,California,2020-2022,4,43-9041,Insurance Claims and Policy Processing Clerks,40100,40900,800,2.0,2990,5060,8850,21.52,44770.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2020-2022,4,43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",6500,6900,400,6.2,640,840,1880,15.35,31936.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,43-9061,"Office Clerks, General",327500,348600,21100,6.4,37790,43120,102010,18.26,37989.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,43-9071,"Office Machine Operators, Except Computer",6000,6500,500,8.3,750,840,2090,16.97,35306.00,High school diploma or equivalent,None,Short-term on-the-job training
