Area Type,Area Name (County Names),Period,SOC Level,Standard Occupational Classification (SOC),Occupational Title,Base Year Employment Estimate,Projected Year Employment Estimate,Numeric Change,Percentage Change,Exits,Transfers,Total  Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",220,260,40,18.2,270,250,560,0.00,0.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,35-3031,Waiters and Waitresses,2220,2740,520,23.4,1720,3040,5280,13.23,27513.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,35-3041,"Food Servers, Nonrestaurant",100,110,10,10.0,80,90,180,14.34,29820.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,3,35-9000,Other Food Preparation and Serving Related Workers,1950,2350,400,20.5,1830,1990,4220,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,770,970,200,26.0,720,770,1690,12.62,26236.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,35-9021,Dishwashers,560,660,100,17.9,450,510,1060,14.05,29223.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",340,430,90,26.5,430,460,980,13.46,27997.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,35-9099,"Food Preparation and Serving Related Workers, All Other",270,290,20,7.4,230,250,500,16.76,34868.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,2,37-0000,Building and Grounds Cleaning and Maintenance Occupations,4740,5360,620,13.1,2870,3720,7210,16.37,34054.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,3,37-1000,Supervisors of Building and Grounds Cleaning and Maintenance Workers,380,440,60,15.8,160,300,520,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,200,240,40,20.0,90,150,280,24.68,51328.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",180,200,20,11.1,70,140,230,29.23,60815.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Napa MSA (Napa County),2018-2028,3,37-2000,Building Cleaning and Pest Control Workers,3010,3420,410,13.6,2130,2150,4690,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",1390,1540,150,10.8,900,1040,2090,15.41,32056.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,37-2012,Maids and Housekeeping Cleaners,1590,1850,260,16.4,1220,1100,2580,15.28,31788.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,3,37-3000,Grounds Maintenance Workers,1360,1500,140,10.3,590,1270,2000,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,37-3011,Landscaping and Groundskeeping Workers,1220,1350,130,10.7,530,1140,1800,18.71,38895.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,2,39-0000,Personal Care and Service Occupations,4380,4770,390,8.9,3190,3500,7080,15.02,31242.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,3,39-1000,Supervisors of Personal Care and Service Workers,200,220,20,10.0,80,120,220,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,39-1021,First-Line Supervisors of Personal Service Workers,200,220,20,10.0,80,120,220,0.00,0.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Napa MSA (Napa County),2018-2028,3,39-2000,Animal Care and Service Workers,120,140,20,16.7,90,120,230,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,39-2021,Nonfarm Animal Caretakers,110,130,20,18.2,80,110,210,16.41,34126.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,3,39-3000,Entertainment Attendants and Related Workers,260,290,30,11.5,300,340,670,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,39-3091,Amusement and Recreation Attendants,200,230,30,15.0,230,270,530,14.11,29357.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,3,39-5000,Personal Appearance Workers,400,450,50,12.5,240,260,550,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,39-5092,Manicurists and Pedicurists,170,200,30,17.6,100,110,240,12.09,25164.00,Postsecondary non-degree award,None,None
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,39-5094,Skincare Specialists,100,120,20,20.0,60,70,150,15.96,33189.00,Postsecondary non-degree award,None,None
Metropolitan Area,Napa MSA (Napa County),2018-2028,3,39-6000,"Baggage Porters, Bellhops, and Concierges",240,310,70,29.2,140,250,460,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,39-6011,Baggage Porters and Bellhops,150,200,50,33.3,90,160,300,12.97,26967.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,39-6012,Concierges,90,100,10,11.1,50,90,150,18.61,38720.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,3,39-7000,Tour and Travel Guides,70,60,-10,-14.3,50,60,100,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,39-7010,Tour and Travel Guides,70,60,-10,-14.3,50,60,100,13.36,27781.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,3,39-9000,Other Personal Care and Service Workers,3090,3300,210,6.8,2270,2350,4830,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,39-9021,Personal Care Aides,2250,2380,130,5.8,1710,1520,3360,0.00,0.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,39-9031,Fitness Trainers and Aerobics Instructors,270,330,60,22.2,180,320,560,22.90,47630.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,39-9032,Recreation Workers,200,220,20,10.0,120,220,360,13.77,28656.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,2,41-0000,Sales and Related Occupations,10040,11100,1060,10.6,6840,8570,16470,20.02,41642.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,3,41-1000,Supervisors of Sales Workers,1190,1290,100,8.4,420,880,1400,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,41-1011,First-Line Supervisors of Retail Sales Workers,770,820,50,6.5,280,600,930,22.94,47724.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,41-1012,First-Line Supervisors of Non-Retail Sales Workers,420,480,60,14.3,140,280,480,35.43,73684.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Napa MSA (Napa County),2018-2028,3,41-2000,Retail Sales Workers,4280,4470,190,4.4,3060,4030,7280,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,41-2011,Cashiers,1810,1860,50,2.8,1640,1820,3510,13.89,28897.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,41-2021,Counter and Rental Clerks,330,340,10,3.0,170,260,440,17.62,36644.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,41-2022,Parts Salespersons,100,100,0,0.0,40,80,120,18.44,38362.00,No formal educational credential,None,Moderate-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,41-2031,Retail Salespersons,2050,2180,130,6.3,1210,1870,3210,17.27,35905.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,3,41-3000,"Sales Representatives, Services",780,850,70,9.0,240,670,980,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,41-3021,Insurance Sales Agents,120,140,20,16.7,50,80,150,23.10,48026.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,41-3031,"Securities, Commodities, and Financial Services Sales Agents",240,270,30,12.5,70,180,280,26.47,55065.00,Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,41-3099,"Sales Representatives, Services, All Other",370,400,30,8.1,110,380,520,0.00,0.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,3,41-4000,"Sales Representatives, Wholesale and Manufacturing",1140,1300,160,14.0,370,910,1440,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",60,60,0,0.0,20,40,60,46.19,96072.00,Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1080,1240,160,14.8,350,870,1380,41.35,86003.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,3,41-9000,Other Sales and Related Workers,2650,3190,540,20.4,2750,2080,5370,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,41-9011,Demonstrators and Product Promoters,2330,2820,490,21.0,2600,1800,4890,21.70,45141.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,41-9022,Real Estate Sales Agents,30,30,0,0.0,20,20,40,0.00,0.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,2,43-0000,Office and Administrative Support Occupations,9420,9480,60,0.6,4690,6580,11330,22.81,47433.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,3,43-1000,Supervisors of Office and Administrative Support Workers,700,720,20,2.9,270,480,770,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,43-1011,First-Line Supervisors of Office and Administrative Support Workers,700,720,20,2.9,270,480,770,31.74,66013.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Napa MSA (Napa County),2018-2028,3,43-2000,Communications Equipment Operators,50,40,-10,-20.0,30,30,50,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,43-2011,"Switchboard Operators, Including Answering Service",40,40,0,0.0,20,30,50,18.39,38235.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,3,43-3000,Financial Clerks,1710,1690,-20,-1.2,950,1020,1950,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,43-3011,Bill and Account Collectors,30,30,0,0.0,10,20,30,27.05,56252.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,43-3021,Billing and Posting Clerks,170,170,0,0.0,70,120,190,21.61,44944.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",1150,1170,20,1.7,710,650,1380,25.30,52616.00,"Some college, no degree",None,Moderate-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,43-3051,Payroll and Timekeeping Clerks,150,150,0,0.0,70,90,160,26.41,54931.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,43-3071,Tellers,170,150,-20,-11.8,80,110,170,16.44,34190.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,3,43-4000,Information and Record Clerks,2030,2150,120,5.9,1060,1810,2990,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,43-4051,Customer Service Representatives,730,760,30,4.1,360,640,1030,22.39,46562.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,43-4061,"Eligibility Interviewers, Government Programs",60,60,0,0.0,20,30,50,32.06,66679.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,43-4081,"Hotel, Motel, and Resort Desk Clerks",440,530,90,20.5,270,550,910,18.15,37754.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,43-4111,"Interviewers, Except Eligibility and Loan",70,70,0,0.0,30,50,80,18.87,39229.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,43-4151,Order Clerks,70,70,0,0.0,30,50,80,18.24,37938.00,"Some college, no degree",None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",40,40,0,0.0,20,30,50,20.49,42599.00,Associate's degree,None,None
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,43-4171,Receptionists and Information Clerks,370,380,10,2.7,220,290,520,18.48,38430.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,60,70,10,16.7,30,40,80,18.39,38256.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,43-4199,"Information and Record Clerks, All Other",110,110,0,0.0,60,80,140,22.86,47556.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,3,43-5000,"Material Recording, Scheduling, Dispatching, and Distributing Workers",1760,1870,110,6.3,780,1300,2190,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,43-5021,Couriers and Messengers,30,30,0,0.0,10,20,30,0.00,0.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,43-5032,"Dispatchers, Except Police, Fire, and Ambulance",100,100,0,0.0,40,60,100,19.49,40540.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,43-5051,Postal Service Clerks,30,30,0,0.0,10,10,20,26.86,55852.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,43-5052,Postal Service Mail Carriers,140,110,-30,-21.4,50,50,70,31.56,65624.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,43-5061,"Production, Planning, and Expediting Clerks",200,240,40,20.0,70,160,270,27.47,57143.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,43-5071,"Shipping, Receiving, and Traffic Clerks",310,320,10,3.2,100,210,320,21.82,45385.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,43-5081,Stock Clerks and Order Fillers,860,960,100,11.6,460,750,1310,0.00,0.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,3,43-6000,Secretaries and Administrative Assistants,1650,1530,-120,-7.3,820,960,1660,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,43-6011,Executive Secretaries and Executive Administrative Assistants,200,170,-30,-15.0,90,110,170,35.67,74197.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,43-6012,Legal Secretaries,80,60,-20,-25.0,30,40,50,32.15,66863.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,43-6013,Medical Secretaries,380,390,10,2.6,200,230,440,22.85,47535.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",990,920,-70,-7.1,490,580,1000,23.14,48119.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,3,43-9000,Other Office and Administrative Support Workers,1540,1470,-70,-4.5,800,980,1710,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,43-9021,Data Entry Keyers,90,70,-20,-22.2,40,60,80,19.16,39864.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,43-9041,Insurance Claims and Policy Processing Clerks,80,90,10,12.5,30,50,90,22.82,47464.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,43-9061,"Office Clerks, General",1210,1160,-50,-4.1,660,750,1360,21.86,45456.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,43-9199,"Office and Administrative Support Workers, All Other",90,90,0,0.0,40,70,110,16.81,34968.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,2,45-0000,"Farming, Fishing, and Forestry Occupations",4980,5300,320,6.4,2030,6290,8640,17.97,37374.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,3,45-1000,"Supervisors of Farming, Fishing, and Forestry Workers",410,460,50,12.2,160,480,690,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",410,460,50,12.2,160,480,690,28.00,58234.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Napa MSA (Napa County),2018-2028,3,45-2000,Agricultural Workers,4540,4830,290,6.4,1860,5770,7920,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,45-2091,Agricultural Equipment Operators,390,440,50,12.8,170,520,740,19.05,39619.00,No formal educational credential,None,Moderate-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",3990,4210,220,5.5,1630,5070,6920,17.49,36374.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,2,47-0000,Construction and Extraction Occupations,4410,4470,60,1.4,1400,3360,4820,28.71,59718.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,3,47-1000,Supervisors of Construction and Extraction Workers,220,230,10,4.5,70,170,250,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,220,230,10,4.5,70,170,250,42.21,87789.00,High school diploma or equivalent,≥5 years,None
Metropolitan Area,Napa MSA (Napa County),2018-2028,3,47-2000,Construction Trades Workers,3990,4030,40,1.0,1250,3020,4310,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,47-2031,Carpenters,1160,1110,-50,-4.3,360,820,1130,30.51,63467.00,High school diploma or equivalent,None,Apprenticeship
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,47-2051,Cement Masons and Concrete Finishers,110,110,0,0.0,30,80,110,28.68,59656.00,No formal educational credential,None,Moderate-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,47-2061,Construction Laborers,600,640,40,6.7,210,480,730,24.07,50075.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,47-2073,Operating Engineers and Other Construction Equipment Operators,110,110,0,0.0,40,90,130,41.04,85368.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,47-2081,Drywall and Ceiling Tile Installers,140,140,0,0.0,40,100,140,26.46,55041.00,No formal educational credential,None,Moderate-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,47-2111,Electricians,300,320,20,6.7,100,260,380,37.47,77931.00,High school diploma or equivalent,None,Apprenticeship
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,47-2121,Glaziers,40,40,0,0.0,10,30,40,34.84,72461.00,High school diploma or equivalent,None,Apprenticeship
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,47-2141,"Painters, Construction and Maintenance",670,680,10,1.5,230,450,690,25.44,52919.00,No formal educational credential,None,Moderate-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,47-2181,Roofers,90,90,0,0.0,20,70,90,26.96,56071.00,No formal educational credential,None,Moderate-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,3,47-3000,"Helpers, Construction Trades",70,70,0,0.0,20,70,90,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,3,47-4000,Other Construction and Related Workers,120,120,0,0.0,50,90,140,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,47-4011,Construction and Building Inspectors,50,50,0,0.0,30,30,60,41.53,86368.00,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,47-4051,Highway Maintenance Workers,50,50,0,0.0,20,40,60,21.91,45574.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,2,49-0000,"Installation, Maintenance, and Repair Occupations",2160,2350,190,8.8,740,1470,2400,26.24,54567.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,3,49-1000,"Supervisors of Installation, Maintenance, and Repair Workers",150,170,20,13.3,50,100,170,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",150,170,20,13.3,50,100,170,40.93,85142.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Napa MSA (Napa County),2018-2028,3,49-2000,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",80,80,0,0.0,20,60,80,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,3,49-3000,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",550,560,10,1.8,160,380,550,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,49-3021,Automotive Body and Related Repairers,70,70,0,0.0,20,40,60,29.07,60465.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,49-3023,Automotive Service Technicians and Mechanics,240,230,-10,-4.2,60,170,220,25.28,52574.00,Postsecondary non-degree award,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,50,60,10,20.0,20,40,70,31.11,64708.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,49-3041,Farm Equipment Mechanics and Service Technicians,100,110,10,10.0,30,70,110,25.96,54005.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",50,50,0,0.0,20,30,50,34.22,71178.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,3,49-9000,"Other Installation, Maintenance, and Repair Occupations",1380,1550,170,12.3,510,930,1610,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",130,140,10,7.7,40,90,140,32.05,66670.00,Postsecondary non-degree award,None,Long-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,49-9041,Industrial Machinery Mechanics,170,220,50,29.4,60,120,230,32.83,68296.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,49-9071,"Maintenance and Repair Workers, General",780,900,120,15.4,300,520,940,23.85,49599.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,49-9098,"Helpers--Installation, Maintenance, and Repair Workers",30,30,0,0.0,20,20,40,15.67,32599.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,49-9099,"Installation, Maintenance, and Repair Workers, All Other",200,190,-10,-5.0,80,130,200,21.19,44079.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,2,51-0000,Production Occupations,5330,6040,710,13.3,2130,4540,7380,22.75,47326.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,3,51-1000,Supervisors of Production Workers,390,440,50,12.8,130,290,470,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,51-1011,First-Line Supervisors of Production and Operating Workers,390,440,50,12.8,130,290,470,37.43,77852.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Napa MSA (Napa County),2018-2028,3,51-2000,Assemblers and Fabricators,340,340,0,0.0,130,260,390,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,51-2098,"Assemblers and Fabricators, All Other, Including Team Assemblers",160,170,10,6.3,70,120,200,0.00,0.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,3,51-3000,Food Processing Workers,350,430,80,22.9,210,310,600,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,51-3011,Bakers,210,270,60,28.6,140,190,390,14.99,31161.00,No formal educational credential,None,Long-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,51-3021,Butchers and Meat Cutters,50,50,0,0.0,20,40,60,19.20,39920.00,No formal educational credential,None,Long-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,3,51-4000,Metal Workers and Plastic Workers,260,250,-10,-3.8,80,200,270,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Napa MSA (Napa County),2018-2028,4,51-4121,"Welders, Cutters, Solderers, and Brazers",120,120,0,0.0,30,100,130,24.74,51454.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Napa MSA (Napa County),2018-2028,3,51-5100,Printing Workers,60,40,-20,-33.3,20,40,40,0.00,0.00,N/A,N/A,N/A
